"basin","stream_order","reachid","absolute_cv","basin_cv","cv_ratio_to_basin","anomaly_pct"
"Kuskokwim",3,7944,0.304289586738268,0.244254784482295,1.24578762042766,24.5787620427657
"Kuskokwim",3,7978,0.286669591053937,0.244254784482295,1.17364984952717,17.3649849527172
"Kuskokwim",3,8066,0.206813989194432,0.244254784482295,0.846714178527887,-15.3285821472113
"Kuskokwim",3,8134,0.257916184632975,0.244254784482295,1.05593094186317,5.59309418631713
"Kuskokwim",3,8200,0.196558050174726,0.244254784482295,0.80472548609984,-19.527451390016
"Kuskokwim",3,8221,0.201643618483808,0.244254784482295,0.825546238167649,-17.4453761832351
"Kuskokwim",3,8267,0.256186970855853,0.244254784482295,1.04885139260977,4.88513926097653
"Kuskokwim",3,8287,0.321320530330017,0.244254784482295,1.31551376162832,31.5513761628316
"Kuskokwim",3,8340,0.292500240290581,0.244254784482295,1.19752102670392,19.7521026703916
"Kuskokwim",3,8378,0.197611180201205,0.244254784482295,0.809037090593936,-19.0962909406064
"Kuskokwim",3,8392,0.277078994685151,0.244254784482295,1.13438512687654,13.4385126876543
